Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
26/08/2024 07:58:44,Open Position,NSDQ100/USD," 100,00 ",0.101230," 0,00 "," 1.529,94 "," 269,96 ",2797455159,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 50,21 ",0.050636," 0,21 "," 1.530,15 "," 320,17 ",2797451213,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 50,57 ",0.050655," 0,57 "," 1.530,72 "," 370,74 ",2797452766,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 50,20 ",0.050636," 0,20 "," 1.530,92 "," 420,94 ",2797451299,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 151,64 ",0.151961," 1,65 "," 1.532,57 "," 572,58 ",2797452737,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 50,60 ",0.050656," 0,60 "," 1.533,17 "," 623,18 ",2797452913,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 50,68 ",0.050660," 0,68 "," 1.533,85 "," 673,86 ",2797453070,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 70,92 ",0.070923," 0,92 "," 1.534,77 "," 744,78 ",2797452821,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 152,08 ",0.151983," 2,09 "," 1.536,86 "," 896,86 ",2797452963,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 99,58 ",0.101230,"(0,42)"," 1.536,44 "," 996,44 ",2797455159,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 101,09 ",0.101306," 1,09 "," 1.537,53 "," 1.097,53 ",2797453330,CFD," 0,00 "
26/08/2024 07:59:28,Position closed,NSDQ100/USD," 100,71 ",0.101287," 0,71 "," 1.538,24 "," 1.198,24 ",2797454136,CFD," 0,00 "
26/08/2024 08:00:55,Open Position,NSDQ100/USD," 100,00 ",0.101289," 0,00 "," 1.538,24 "," 1.098,24 ",2797455695,CFD," 0,00 "
26/08/2024 08:01:07,Open Position,NSDQ100/USD," 50,00 ",0.050651," 0,00 "," 1.538,24 "," 1.048,24 ",2797455729,CFD," 0,00 "
26/08/2024 08:01:31,Open Position,NSDQ100/USD," 100,00 ",0.101286," 0,00 "," 1.538,24 "," 948,24 ",2797455795,CFD," 0,00 "
26/08/2024 08:01:45,Open Position,NSDQ100/USD," 50,00 ",0.050647," 0,00 "," 1.538,24 "," 898,24 ",2797455835,CFD," 0,00 "
