Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop lose rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2798904379,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 979,99 ",0.978649,28/08/2024 08:52:13,28/08/2024 22:42:11,20," 2,80 ",-0.01,"(505,86)",-,-," 19.618,87 "," 19.101,97 "," 20.109,34 "," 19.107,96 ","(5,17)",-,CFD,US6311011026,
2798920969,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 499,99 ",0.510225,28/08/2024 10:11:20,28/08/2024 22:42:11,20," 1,46 ",0.00,"(253,68)",-,-," 19.599,17 "," 19.101,97 "," 20.089,15 "," 19.109,20 ","(2,69)",-,CFD,US6311011026,
2798917443,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 50,00 ",0.051019,28/08/2024 09:52:09,28/08/2024 22:42:07,20," 0,15 ",0.00,"(25,03)",-,-," 19.600,37 "," 19.109,77 "," 20.090,38 "," 19.110,36 ","(0,27)",-,CFD,US6311011026,
2798915210,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,00 ",0.102021,28/08/2024 09:41:12,28/08/2024 22:42:07,20," 0,29 ",0.00,"(50,39)",-,-," 19.603,67 "," 19.109,77 "," 20.093,76 "," 19.113,58 ","(0,54)",-,CFD,US6311011026,
2798914341,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 600,00 ",0.611999,28/08/2024 09:34:52,28/08/2024 22:42:07,20," 1,76 ",0.00,"(300,12)",-,-," 19.607,87 "," 19.117,47 "," 20.098,27 "," 19.117,68 ","(3,23)",-,CFD,US6311011026,
2798048955,"Tesla Motors, Inc. (TSLA)",Long," 199,99 ",4.702596,26/08/2024 18:32:21,28/08/2024 15:37:06,5," 2,90 ",-0.14,"(35,30)",-,-," 212,65 "," 205,14 "," 637,92 "," 191,39 ","(0,63)",-,CFD,US88160R1014,
2798045675,"Tesla Motors, Inc. (TSLA)",Long," 99,99 ",2.353182,26/08/2024 18:27:47,28/08/2024 15:36:59,5," 1,45 ",-0.07,"(17,24)",-,-," 212,48 "," 205,15 "," 637,39 "," 191,24 ","(0,32)",-,CFD,US88160R1014,
2798894616,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,00 ",0.102144,28/08/2024 08:23:11,28/08/2024 08:31:15,20," 0,30 ",0.00," 0,84 ",-,-," 19.580,07 "," 19.588,33 "," 20.068,85 "," 19.090,57 "," 0,00 ",-,CFD,US6311011026,
2798891719,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 499,99 ",0.511070,28/08/2024 08:11:15,28/08/2024 08:19:40,20," 1,50 ",0.00," 3,15 ",-,-," 19.566,76 "," 19.572,93 "," 20.055,93 "," 19.077,60 "," 0,00 ",-,CFD,US6311011026,
2798891935,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 590,00 ",0.603143,28/08/2024 08:12:43,28/08/2024 08:19:40,20," 1,77 ",0.00," 5,29 ",-,-," 19.564,16 "," 19.572,93 "," 20.052,75 "," 19.075,06 "," 0,00 ",-,CFD,US6311011026,
