Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3094328826,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 59,96 ",0.051873,06/08/2025 08:07:44,06/08/2025 14:02:24,20," 0,18 ",0.00,"(0,11)",-,-," 23.119,34 "," 23.117,22 "," 23.196,40 "," 22.541,36 "," 0,00 ",-,CFD,US6311011026,
3094548157,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 128,99 ",0.111697,06/08/2025 13:36:18,06/08/2025 14:01:59,20," 0,38 ",0.00," 1,84 ",-,-," 23.097,63 "," 23.114,12 "," 23.676,79 "," 22.521,83 "," 0,00 ",-,CFD,US6311011026,
3094545979,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 60,03 ",0.051936,06/08/2025 08:07:44,06/08/2025 13:35:03,20," 0,18 ",0.00,"(0,43)",-,-," 23.119,34 "," 23.111,02 "," 23.196,40 "," 22.541,36 "," 0,00 ",-,CFD,US6311011026,
3094535108,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,98 ",0.104035,06/08/2025 13:31:11,06/08/2025 13:31:33,20," 0,36 ",0.00," 2,22 ",-,-," 23.066,19 "," 23.087,57 "," 23.643,99 "," 22.490,63 "," 0,00 ",-,CFD,US6311011026,
3094478510,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,98 ",0.112706,06/08/2025 13:01:06,06/08/2025 13:19:21,20," 0,38 ",0.00," 1,09 ",-,-," 23.067,74 "," 23.077,37 "," 23.645,46 "," 22.492,02 "," 0,00 ",-,CFD,US6311011026,
3094381303,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.104159,06/08/2025 09:33:07,06/08/2025 11:10:11,20," 0,36 ",0.00," 2,13 ",-,-," 23.041,34 "," 23.061,77 "," 34.550,52 "," 22.465,60 "," 0,00 ",-,CFD,US6311011026,
3094279626,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.103894,06/08/2025 07:12:25,06/08/2025 08:06:23,20," 0,36 ",0.00," 0,97 ",-,-," 23.100,34 "," 23.109,67 "," 34.608,91 "," 22.523,03 "," 0,00 ",-,CFD,US6311011026,
3094022680,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 81,00 ",0.056647,05/08/2025 18:45:28,06/08/2025 06:01:54,20," 0,20 ",0.00," 1,22 ",-,-," 23.053,69 "," 23.075,27 "," 23.150,00 "," 22.200,00 ","(0,31)",-,CFD,US6311011026,
3094164978,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 64,69 ",0.056124,05/08/2025 18:45:28,05/08/2025 20:17:20,20," 0,20 ",0.00,"(0,27)",-,-," 23.053,69 "," 23.048,87 "," 23.150,00 "," 22.477,64 "," 0,00 ",-,CFD,US6311011026,
3093915265,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 101,99 ",0.088327,05/08/2025 16:23:47,05/08/2025 17:44:21,20," 0,30 ",0.00," 0,98 ",-,-," 23.095,19 "," 23.106,32 "," 23.673,10 "," 22.518,32 "," 0,00 ",-,CFD,US6311011026,
3093827369,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 65,18 ",0.056472,05/08/2025 15:02:42,05/08/2025 16:23:34,20," 0,20 ",0.00," 0,54 ",-,-," 23.084,43 "," 23.093,97 "," 23.658,73 "," 22.507,37 "," 0,00 ",-,CFD,US6311011026,
3093906440,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 64,80 ",0.056149,05/08/2025 15:02:42,05/08/2025 16:12:08,20," 0,19 ",0.00,"(0,30)",-,-," 23.084,43 "," 23.079,07 "," 23.658,73 "," 22.507,37 "," 0,00 ",-,CFD,US6311011026,
3093720099,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.129267,05/08/2025 14:06:05,05/08/2025 14:11:38,20," 0,44 ",0.00," 1,61 ",-,-," 23.205,84 "," 23.218,31 "," 23.260,00 "," 22.630,24 "," 0,00 ",-,CFD,US6311011026,
3093599913,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,98 ",0.103429,05/08/2025 13:35:15,05/08/2025 13:39:22,20," 0,36 ",0.00," 3,56 ",-,-," 23.202,30 "," 23.236,71 "," 23.780,82 "," 22.622,29 "," 0,00 ",-,CFD,US6311011026,
3093517178,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 59,09 ",0.050772,05/08/2025 11:13:00,05/08/2025 12:46:00,20," 0,18 ",0.00,"(0,93)",-,-," 23.279,56 "," 23.261,16 "," 23.289,26 "," 22.697,67 "," 0,00 ",-,CFD,US6311011026,
3093454151,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.103188,05/08/2025 10:40:36,05/08/2025 11:11:58,20," 0,36 ",0.00," 1,45 ",-,-," 23.258,15 "," 23.272,25 "," 23.296,91 "," 22.676,69 "," 0,00 ",-,CFD,US6311011026,
3088626940,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 62,19 ",0.037369,31/07/2025 18:59:26,05/08/2025 11:11:54,20," 0,14 ",0.00,"(0,40)",-,-," 23.282,25 "," 23.271,65 "," 23.300,00 "," 22.200,00 ","(1,02)",-,CFD,US6311011026,
3093428696,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.129159,05/08/2025 09:52:40,05/08/2025 10:39:49,20," 0,44 ",0.00," 3,29 ",-,-," 23.227,15 "," 23.252,66 "," 23.296,83 "," 22.646,47 "," 0,00 ",-,CFD,US6311011026,
3093376259,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 129,99 ",0.112018,05/08/2025 08:10:26,05/08/2025 09:52:32,20," 0,38 ",0.00," 1,54 ",-,-," 23.210,35 "," 23.224,06 "," 34.880,83 "," 22.630,09 "," 0,00 ",-,CFD,US6311011026,
3093317250,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.103168,05/08/2025 07:02:52,05/08/2025 07:05:05,20," 0,36 ",0.00," 0,44 ",-,-," 23.262,45 "," 23.266,75 "," 23.844,47 "," 22.681,33 "," 0,00 ",-,CFD,US6311011026,
3093289895,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 152,26 ",0.091485,31/07/2025 18:59:26,05/08/2025 06:54:21,20," 0,32 ",0.00,"(1,13)",-,-," 23.282,25 "," 23.269,85 "," 23.300,00 "," 22.200,00 ","(2,49)",-,CFD,US6311011026,
3088727330,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 79,52 ",0.049672,31/07/2025 20:49:06,04/08/2025 20:20:24,20," 0,18 ",0.00,"(0,55)",-,-," 23.220,35 "," 23.209,36 "," 32.521,45 "," 22.200,00 ","(1,12)",-,CFD,US6311011026,
3093172691,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 168,68 ",0.105368,31/07/2025 20:49:06,04/08/2025 20:05:15,20," 0,36 ",0.00,"(2,03)",-,-," 23.220,35 "," 23.201,06 "," 32.521,45 "," 22.200,00 ","(2,36)",-,CFD,US6311011026,
3088710451,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 72,48 ",0.04482,31/07/2025 20:04:27,04/08/2025 19:58:19,20," 0,16 ",0.00,"(2,26)",-,-," 23.236,15 "," 23.185,81 "," 23.319,96 "," 22.200,00 ","(1,02)",-,CFD,US6311011026,
