Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
14/02/2025 13:30:32,Open Position,NSDQ100/USD," 250,00 ",0.227251," 0,00 "," 4.546,35 "," 2.382,78 ",2942231438,CFD," 0,00 "
14/02/2025 13:45:59,Position closed,NSDQ100/USD," 253,77 ",0.227251," 3,77 "," 4.550,12 "," 2.636,55 ",2942231438,CFD," 0,00 "
14/02/2025 13:46:10,Open Position,NSDQ100/USD," 249,99 ",0.227032," 0,00 "," 4.550,12 "," 2.386,56 ",2942236637,CFD," 0,00 "
14/02/2025 13:48:01,Position closed,USD/JPY," 159,96 ",4500," 9,97 "," 4.560,09 "," 2.546,52 ",2942176904,CFD," 0,00 "
14/02/2025 13:52:20,Open Position,NSDQ100/USD," 99,99 ",0.090814," 0,00 "," 4.560,09 "," 2.446,53 ",2942238378,CFD," 0,00 "
14/02/2025 13:59:39,Open Position,USD/JPY," 200,00 ",6000," 0,00 "," 4.560,09 "," 2.246,53 ",2942240334,CFD," 0,00 "
14/02/2025 14:22:11,Position closed,NSDQ100/USD," 99,39 ",0.090814,"(0,60)"," 4.559,49 "," 2.345,92 ",2942238378,CFD," 0,00 "
14/02/2025 15:38:29,Position closed,NSDQ100/USD," 250,81 ",0.227032," 0,82 "," 4.560,31 "," 2.596,73 ",2942236637,CFD," 0,00 "
14/02/2025 16:12:18,Position closed,NSDQ100/USD," 152,12 ",0.135999," 2,13 "," 4.562,44 "," 2.748,85 ",2942100890,CFD," 0,00 "
14/02/2025 16:13:45,Position closed,USD/JPY," 201,54 ",6000," 1,54 "," 4.563,98 "," 2.950,39 ",2942240334,CFD," 0,00 "
14/02/2025 16:15:53,Open Position,USD/JPY," 200,00 ",6000," 0,00 "," 4.563,98 "," 2.750,39 ",2942712638,CFD," 0,00 "
14/02/2025 16:20:03,Open Position,NSDQ100/USD," 149,99 ",0.136084," 0,00 "," 4.563,98 "," 2.600,40 ",2942720636,CFD," 0,00 "
14/02/2025 16:21:27,Open Position,NSDQ100/USD," 149,99 ",0.136241," 0,00 "," 4.563,98 "," 2.450,41 ",2942722830,CFD," 0,00 "
14/02/2025 16:34:52,Withdraw Fee,-,"(5,00)",-,"(5,00)"," 4.558,98 "," 2.445,41 ",-,-," 0,00 "
14/02/2025 16:34:52,Withdrawal Conversion Fee,-," 0,00 ",-," 0,00 "," 4.458,98 "," 2.345,41 ",-,-," 0,00 "
14/02/2025 16:34:52,Withdraw Request,-,"(100,00)",-,"(100,00)"," 4.458,98 "," 2.345,41 ",-,-," 0,00 "
14/02/2025 18:03:21,Position closed,NSDQ100/USD," 154,34 ",0.136084," 4,35 "," 4.463,33 "," 2.499,75 ",2942720636,CFD," 0,00 "
14/02/2025 19:10:14,Position closed,NSDQ100/USD," 155,38 ",0.135921," 5,39 "," 4.468,72 "," 2.655,13 ",2942069260,CFD," 0,00 "
14/02/2025 19:11:16,Open Position,NSDQ100/USD," 249,99 ",0.226073," 0,00 "," 4.468,72 "," 2.405,14 ",2942905362,CFD," 0,00 "
14/02/2025 19:14:41,Open Position,NSDQ100/USD," 200,00 ",0.180823," 0,00 "," 4.468,72 "," 2.205,14 ",2942908291,CFD," 0,00 "
14/02/2025 19:33:29,Open Position,NSDQ100/USD," 149,99 ",0.135814," 0,00 "," 4.468,72 "," 2.055,15 ",2942923290,CFD," 0,00 "
14/02/2025 19:33:57,Open Position,NSDQ100/USD," 149,99 ",0.135845," 0,00 "," 4.468,72 "," 1.905,16 ",2942923786,CFD," 0,00 "
14/02/2025 20:15:32,Position closed,NSDQ100/USD," 151,26 ",0.135814," 1,27 "," 4.469,99 "," 2.056,42 ",2942923290,CFD," 0,00 "
14/02/2025 21:08:13,Position closed,NSDQ100/USD," 251,17 ",0.226073," 1,18 "," 4.471,17 "," 2.307,59 ",2942905362,CFD," 0,00 "
14/02/2025 21:08:46,Edit Stop Loss,-,"(9,30)",-," 0,00 "," 4.471,17 "," 2.298,29 ",2940436584,-," 0,00 "
15/02/2025 00:47:39,Overnight refund,Daily," 0,23 ",-," 0,23 "," 4.471,40 "," 2.298,52 ",2941868070,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,09)",-,"(0,09)"," 4.471,31 "," 2.298,43 ",2941769321,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,10)",-,"(0,10)"," 4.471,21 "," 2.298,33 ",2940436584,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,14)",-,"(0,14)"," 4.471,07 "," 2.298,19 ",2942722830,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,14)",-,"(0,14)"," 4.470,93 "," 2.298,05 ",2941917933,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,14)",-,"(0,14)"," 4.470,79 "," 2.297,91 ",2942923786,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,19)",-,"(0,19)"," 4.470,60 "," 2.297,72 ",2941867797,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(0,28)",-,"(0,28)"," 4.470,32 "," 2.297,44 ",2941886745,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Daily,"(0,92)",-,"(0,92)"," 4.469,40 "," 2.296,52 ",2942712638,CFD," 0,00 "
15/02/2025 00:47:39,Overnight fee,Weekend Fee,"(2,83)",-,"(2,83)"," 4.466,57 "," 2.293,69 ",2942908291,CFD," 0,00 "
16/02/2025 23:02:59,Position closed,NSDQ100/USD," 200,78 ",0.180823," 0,78 "," 4.467,35 "," 2.494,47 ",2942908291,CFD," 0,00 "
16/02/2025 23:03:55,Open Position,NSDQ100/USD," 149,99 ",0.135575," 0,00 "," 4.467,35 "," 2.344,48 ",2943071669,CFD," 0,00 "
16/02/2025 23:05:14,Open Position,NSDQ100/USD," 74,99 ",0.067788," 0,00 "," 4.467,35 "," 2.269,49 ",2943072114,CFD," 0,00 "
17/02/2025 00:55:04,Position closed,USD/JPY," 210,08 ",6000," 10,08 "," 4.477,43 "," 2.479,57 ",2942712638,CFD," 0,00 "
17/02/2025 03:30:16,Position closed,NSDQ100/USD," 157,50 ",0.135575," 7,51 "," 4.484,94 "," 2.637,07 ",2943071669,CFD," 0,00 "
17/02/2025 03:35:04,Open Position,USD/JPY," 99,99 ",3000," 0,00 "," 4.484,94 "," 2.537,08 ",2943109198,CFD," 0,00 "
17/02/2025 03:37:21,Open Position,NSDQ100/USD," 249,99 ",0.22546," 0,00 "," 4.484,94 "," 2.287,09 ",2943109316,CFD," 0,00 "
